# Date:     2019-03-06 15:23:46
# Database: cvs
# Target:   lmc_cepheids
# Query:    I>=8 and I<=30 
# Objects:  3344
# Columns:
# ID	Field	StarID	I	V	P_1	dP_1	A_1
 0001	 156.5	186	17.777	18.173	0.3068149	0.0000002	0.349
 0002	 157.6	2009	15.672	16.412	3.1181195	0.0000161	0.257
 0003	 151.6	310	17.847	18.359	0.3500934	0.0000006	0.340
 0004	 157.3	2913	15.128	15.688	2.2296063	0.0000057	0.249
 0005	 157.3	2916	14.661	15.413	5.6120581	0.0000135	0.521
 0006	 150.6	14	14.697	15.365	3.2949240	0.0000124	0.212
 0007	 155.3	5189	16.932	17.561	0.7090850	0.0000013	0.189
 0008	 156.2	5440	16.354	16.918	0.9728803	0.0000031	0.240
 0009	 154.3	22	15.479	16.137	2.0243989	0.0000239	0.187
 0010	 154.1	22	14.971	15.562	2.5655778	0.0000080	0.249
 0011	 150.7	5166	16.333	16.973	1.0199399	0.0000044	0.239
 0012	 153.4	17	15.469	16.067	2.6601882	0.0000022	0.688
 0013	 149.7	37	15.563	16.178	1.5985658	0.0000024	0.299
 0014	 150.7	5155	14.751	15.379	3.1358942	0.0000143	0.233
 0015	 149.7	6029	15.537	16.135	1.6557113	0.0000028	0.292
 0016	 153.1	11	13.707	14.787	10.5064564	0.0015553	0.115
 0017	 150.6	5206	15.345	15.992	3.6772562	0.0000299	0.611
 0018	 148.8	17	15.222	16.051	4.0478526	0.0000275	0.265
 0019	 154.1	4727	15.621	16.321	1.9290644	0.0000053	0.167
 0020	 149.6	6095	14.734	15.362	3.0111284	0.0000723	0.035
 0021	 149.7	6013	14.722	15.491	5.4579746	0.0000259	0.431
 0022	 150.3	3	14.520	15.208	3.4769607	0.0000765	0.078
 0023	 149.4	71	16.325	17.044	1.7018254	0.0000019	0.403
 0024	 150.3	7085	14.688	15.443	5.0930441	0.0000329	0.144
 0025	 149.3	41	15.343	16.157	3.7334998	0.0000099	0.360
 0026	 148.2	16	15.466	16.081	2.5706764	0.0000033	0.622
 0027	 146.6	29	15.039	15.641	3.5229468	0.0000052	0.647
 0028	 150.4	7575	16.620	17.276	1.2629545	0.0000007	0.513
 0029	 150.1	5722	15.393	16.088	1.9936021	0.0000082	0.256
 0030	 150.1	5799	17.041	17.656	0.6035423	0.0000006	0.330
 0031	 149.3	7684	14.423	15.149	4.3400772	0.0000217	0.261
