# ID	Field	StarID	I	V	P_1	dP_1	A_1
 00001	 366.6	56455	15.545	16.817	0.7325876	0.0000024	0.438
 00002	 366.8	59262	15.843	16.799	0.3015338	0.0000007	0.286
 00003	 366.6	56524	16.373	17.536	0.5154653	0.0000008	0.667
 00004	 366.7	31697	15.933	17.123	0.6517067	0.0000048	0.278
 00005	 366.6	59764	15.279	16.554	0.5655378	0.0000080	0.666
 00006	 366.5	6718	15.790	17.036	0.4788769	0.0000004	0.766
 00007	 366.8	70060	15.252	16.149	0.2612918	0.0000005	0.181
 00008	 366.5	65886	15.407	16.687	0.5349328	0.0000014	0.600
 00009	 366.6	73518	15.709	16.892	0.6041632	0.0000008	0.759
 00010	 366.7	99755	15.549	16.745	0.6338724	0.0000019	0.315
 00011	 366.7	77741	15.869	16.940	0.4419688	0.0000058	0.274
 00012	 366.8	110429	15.319	16.334	0.2541893	0.0000006	0.204
 00013	 366.4	23	15.232	-99.99	0.2554772	0.0000010	0.218
 00014	 366.2	60139	16.370	17.559	0.3984769	0.0000010	0.545
 00015	 366.1	33453	15.469	16.493	0.3176068	0.0000004	0.236
 00016	 366.4	65766	16.042	17.242	0.5462627	0.0000016	0.604
 00017	 366.3	3466	15.569	16.515	0.2956094	0.0000004	0.312
 00018	 366.1	95433	15.678	16.623	0.2759305	0.0000010	0.287
 00019	 366.1	95416	15.123	16.245	0.5242882	0.0000055	0.452
 00020	 366.4	73648	15.695	16.901	0.6175062	0.0000018	0.260
 00021	 366.3	101171	15.963	17.134	0.4896833	0.0000018	0.387
 00022	 366.3	10943	15.957	16.933	0.2384120	0.0000004	0.241
 00023	 366.3	101210	15.714	16.669	0.3589775	0.0000011	0.237
 00024	 366.2	103452	15.578	16.589	0.3331280	0.0000011	0.283
 00025	 366.4	77542	15.770	16.918	0.5498323	0.0000007	0.632
 00026	 366.1	14870	16.179	17.389	0.3219469	0.0000008	0.253
 00027	 366.4	23083	15.743	16.868	0.4783140	0.0000005	0.795
 00028	 366.1	51886	16.423	17.776	0.2825768	0.0000007	0.295
 00029	 366.4	26993	15.611	16.662	0.5909070	0.0000086	0.612
 00030	 366.3	26459	15.364	16.661	0.5756823	0.0000014	0.466
 00031	 365.8	30316	16.312	-99.99	0.5599751	0.0000097	0.604
 00032	 365.7	58733	15.573	16.801	0.3255221	0.0000010	0.251
 00033	 365.5	92412	14.693	15.738	0.3204363	0.0000008	0.251
 00034	 365.7	29242	15.667	16.834	0.5285796	0.0000021	0.552
 00035	 365.5	3401	15.707	16.769	0.3851450	0.0000032	0.260
 00036	 365.5	95682	15.763	16.635	0.3403936	0.0000009	0.263
 00037	 365.7	36698	16.231	17.384	0.3193247	0.0000009	0.256
 00038	 365.7	36705	16.307	17.363	0.2512036	0.0000006	0.251
 00039	 332.5	36	15.927	17.414	0.3582794	0.0000014	0.266
 00040	 365.8	10823	14.826	15.995	0.3217353	0.0000007	0.257
 00041	 365.7	97253	15.711	16.891	0.7357290	0.0000067	0.368
 00042	 365.6	40387	15.675	18.535	0.7400093	0.0000206	0.043
 00043	 365.8	72426	15.627	16.702	0.5903892	0.0000006	0.687
 00044	 365.6	40399	15.906	16.990	0.2761720	0.0000003	0.294
 00045	 332.8	61900	16.063	17.373	0.5805662	0.0000051	0.519
 00046	 365.7	72156	15.867	17.248	0.4885780	0.0000017	0.642
 00047	 365.5	15262	15.526	16.670	0.5025954	0.0000005	0.776
 00048	 332.7	3678	15.342	16.709	0.3465228	0.0000028	0.304
 00049	 332.6	95811	16.387	17.743	0.6129358	0.0000007	0.749
 00050	 365.7	14743	16.315	17.563	0.5743649	0.0000021	0.545
 00051	 332.8	31652	15.642	16.841	0.3467930	0.0000032	0.274
 00052	 332.8	92235	16.057	17.490	0.5519160	0.0000016	0.494
 00053	 332.5	65014	16.382	17.846	0.3333353	0.0000012	0.291
 00054	 332.7	67142	16.269	17.638	0.6091963	0.0000017	0.449
 00055	 332.5	99845	15.317	16.784	0.7165209	0.0000077	0.454
 00056	 365.7	75502	15.736	16.907	0.5891647	0.0000022	0.714
 00057	 365.5	50022	16.021	17.057	0.3295820	0.0000010	0.283
 00058	 365.7	17301	16.076	17.177	0.5308096	0.0000030	0.524
 00059	 365.5	49963	15.420	16.562	0.7235112	0.0000040	0.205
 00060	 365.8	80343	15.498	16.614	0.4851361	0.0000007	0.729
 00061	 365.7	107437	15.715	16.828	0.5081733	0.0000034	0.572
 00062	 365.5	22924	15.455	16.697	0.5532790	0.0000008	0.571
 00063	 365.7	50715	15.062	16.306	0.6748341	0.0000013	0.567
 00064	 332.6	103048	15.979	17.308	0.5326495	0.0000008	0.611
 00065	 365.5	54025	15.844	16.933	0.3746140	0.0000034	0.274
 00066	 332.5	103393	15.925	17.217	0.5266804	0.0000008	0.568
 00067	 332.5	103398	15.616	16.773	0.5540180	0.0000070	0.445
 00068	 332.7	71097	15.172	16.451	0.4684617	0.0000022	0.623
 00069	 365.8	88279	15.564	16.741	0.6349119	0.0000007	0.802
 00070	 332.5	10665	15.890	17.234	0.5423221	0.0000028	0.557
 00071	 365.7	111159	16.085	17.254	0.3211021	0.0000009	0.261
 00072	 365.5	57984	16.004	17.218	0.5974501	0.0000012	0.410
 00073	 365.7	111123	15.260	16.581	0.6182283	0.0000023	0.446
 00074	 332.6	76878	16.112	17.263	0.5011208	0.0000011	0.763
 00075	 332.5	44913	16.917	18.054	0.3102207	0.0000012	0.282
 00076	 332.8	14361	16.230	17.472	0.2618674	0.0000007	0.264
 00077	 332.8	74011	16.312	17.696	0.3291501	0.0000013	0.263
 00078	 332.8	47271	16.678	-99.99	0.5704847	0.0000034	0.465
 00079	 332.6	81072	17.375	18.978	0.3335385	0.0000017	0.273
 00080	 365.1	30337	15.884	17.208	0.5909045	0.0000060	0.361
 00081	 365.2	3847	15.938	17.166	0.6035468	0.0000006	0.709
 00082	 365.4	93001	16.009	17.216	0.2987009	0.0000007	0.257
 00083	 332.6	114166	16.185	17.723	0.6130365	0.0000045	0.702
 00084	 365.4	63954	16.135	17.406	0.4386521	0.0000003	0.821
 00085	 365.1	37811	15.792	16.968	0.2983126	0.0000006	0.258
 00086	 365.4	7455	15.981	17.083	0.4545428	0.0000021	0.924
 00087	 365.4	7459	16.133	17.559	0.5064268	0.0000015	0.589
 00088	 332.8	24537	16.010	-99.99	0.5721797	0.0000007	0.738
 00089	 365.2	109290	16.609	17.931	0.5636163	0.0000061	0.220
 00090	 365.3	11524	16.234	-99.99	0.4415030	0.0000020	0.748
 00091	 365.2	109256	15.642	16.752	0.3267837	0.0000005	0.364
 00092	 332.2	103140	16.152	17.328	0.4000804	0.0000030	0.246
 00093	 365.1	72514	16.117	17.490	0.6401168	0.0000029	0.239
 00094	 365.4	41680	17.288	18.891	0.6195774	0.0000020	0.636
 00096	 365.1	11510	17.261	18.619	0.4409696	0.0000009	0.619
 00097	 365.4	100438	15.344	16.614	0.3272346	0.0000010	0.270
 00098	 332.4	4047	15.911	17.396	0.6262897	0.0000035	0.525
 00099	 332.2	107053	16.132	17.384	0.6170890	0.0000051	0.182
 00100	 365.1	106453	15.871	17.188	0.5670933	0.0000009	0.551
 00101	 332.3	38931	15.881	17.448	0.5239226	0.0000047	0.665
 00102	 332.3	74573	15.719	16.761	0.2960351	0.0000011	0.268
 00103	 365.3	78364	15.463	16.786	0.6334876	0.0000016	0.525
 00104	 365.4	107707	17.123	18.435	0.2832242	0.0000007	0.294
 00105	 365.4	48749	16.271	17.940	0.5480899	0.0000033	0.885
 00106	 365.3	112362	16.330	17.922	0.3358391	0.0000064	0.203
 00107	 365.3	82590	16.023	17.196	0.2995022	0.0000006	0.266
 00108	 365.2	116745	16.168	17.318	0.3201026	0.0000010	0.245
 00109	 365.3	51027	16.530	17.790	0.5132478	0.0000016	0.652
 00111	 332.4	8361	17.533	18.816	0.5767912	0.0000041	0.441
 00112	 365.2	120798	16.184	17.564	0.6253310	0.0000053	0.128
 00113	 365.2	56956	15.342	16.518	0.4631103	0.0000011	0.621
 00114	 332.1	74924	15.773	17.196	0.5197469	0.0000011	0.637
 00115	 332.2	45272	15.745	16.823	0.2778534	0.0000010	0.280
 00116	 365.4	114894	16.419	17.915	0.6137890	0.0000028	0.246
 00118	 332.4	85957	16.403	17.743	0.3014008	0.0000008	0.309
 00119	 365.2	61346	16.286	17.695	0.5203240	0.0000065	0.603
 00120	 365.4	26491	16.170	17.564	0.3849040	0.0000095	0.253
 00121	 365.1	88143	15.997	17.691	0.5135601	0.0000005	0.751
 00122	 365.3	0	17.323	-99.99	0.4917962	0.0000048	0.448
 00123	 365.2	0	15.533	-99.99	0.6232058	0.0000035	0.205
 00124	 332.4	50806	16.211	17.333	0.2989138	0.0000008	0.263
 00125	 332.4	55117	15.490	16.798	0.6048438	0.0000011	0.386
 00126	 332.1	114298	15.458	16.633	0.3516258	0.0000022	0.290
 00127	 332.3	56740	15.584	16.798	0.5501337	0.0000008	0.727
 00128	 332.2	89662	16.968	18.333	0.5834181	0.0000012	0.719
 00129	 332.4	94861	15.834	17.208	0.5993982	0.0000014	0.385
 00130	 332.3	129584	15.889	17.221	0.5684143	0.0000020	0.498
 00131	 332.1	22941	16.796	18.193	0.3254786	0.0000011	0.256
 00132	 332.3	26194	16.389	17.656	0.3010211	0.0000015	0.313
 00133	 332.4	95031	16.359	17.553	0.5547080	0.0000012	0.573
 00134	 332.3	26127	16.055	17.370	0.2552455	0.0000032	0.262
 00135	 332.3	133925	16.157	17.604	0.5294581	0.0000015	0.490
 00136	 332.4	132190	16.175	17.534	0.6937521	0.0000096	0.584
 00137	 332.4	29443	15.657	16.831	0.3102516	0.0000008	0.284
 00138	 332.1	26859	16.116	17.616	0.5350514	0.0000014	0.702
 00139	 364.7	32509	16.409	-99.99	0.5156936	0.0000013	0.691
 00140	 364.5	32340	16.001	17.396	0.3229138	0.0000010	0.261
 00141	 364.7	3953	16.086	17.512	0.5633743	0.0000014	0.650
 00142	 360.7	43	15.789	16.904	0.2950177	0.0000022	0.306
 00143	 360.7	19	15.098	16.455	0.7170340	0.0000036	0.380
 00144	 364.8	71970	16.009	17.243	0.2904316	0.0000007	0.266
 00145	 364.6	103938	15.150	16.667	0.5028280	0.0000011	0.727
 00146	 363.8	283	17.809	19.619	0.5626119	0.0000066	0.458
 00147	 360.5	58372	14.120	15.188	0.6016685	0.0000007	0.746
 00148	 363.5	34411	16.052	17.285	0.6171182	0.0000041	0.427
 00149	 360.8	29543	15.610	17.048	0.6547046	0.0000025	0.282
 00150	 363.7	103516	16.285	17.600	0.5739589	0.0000051	0.457
 00151	 360.7	63175	15.142	16.469	0.6421163	0.0000006	0.783
 00152	 360.5	31768	15.620	16.653	0.3214933	0.0000009	0.254
 00153	 360.8	3740	15.307	16.508	0.3502892	0.0000020	0.271
 00154	 360.5	3605	16.442	17.584	0.3006498	0.0000009	0.259
 00155	 364.7	8287	15.864	17.332	0.6524942	0.0000009	0.642
 00156	 363.7	103501	15.892	17.133	0.3790036	0.0000026	0.267
 00157	 363.7	103424	14.375	15.651	0.7515040	0.0000018	0.502
 00158	 363.7	70293	15.906	17.137	0.4840892	0.0000003	0.772
 00159	 360.6	95338	16.157	17.394	0.5620641	0.0000010	0.559
 00160	 360.7	96397	16.324	17.708	0.5159744	0.0000017	0.612
 00161	 364.6	45564	16.274	17.836	0.6218212	0.0000008	0.731
 00162	 363.6	76623	15.915	17.235	0.5463308	0.0000042	0.644
 00163	 364.5	47970	17.520	19.259	0.6146614	0.0000056	0.458
 00164	 360.5	39404	16.056	17.086	0.3097149	0.0000008	0.255
 00165	 364.7	111214	16.548	18.059	0.5348160	0.0000007	0.676
 00166	 364.8	118783	16.049	17.668	0.5943270	0.0000013	0.369
 00167	 363.7	12243	15.831	17.135	0.3616623	0.0000011	0.275
 00168	 364.5	19571	16.921	18.332	0.3100989	0.0000010	0.248
